league,Equipe,0_15_mar,0_15_sofri
South Korea - K League 2,Chungnam Asan,1,1
South Korea - K League 2,Gimcheon Sangmu,2,0
South Korea - K League 2,Gimpo,1,0
South Korea - K League 2,Gyeongnam,3,0
South Korea - K League 2,Jeonnam Dragons,2,4
South Korea - K League 2,Seongnam,2,1
South Korea - K League 2,Seoul E-Land,1,3
Spain - La Liga,Alaves,0,1
Spain - La Liga,FC Barcelona,0,0
Spain - La Liga,Girona,0,1
Spain - La Liga,Granada,0,0
Spain - La Liga,Mallorca,0,0
Spain - La Liga,Osasuna,0,0
Spain - La Liga,Rayo Vallecano,0,0
Spain - La Liga,Real Betis,0,0
Spain - La Liga,Real Madrid,0,0
Spain - La Liga,Valencia,0,0
Spain - La Liga 2,Alcorcon,0,0
Spain - La Liga 2,Eibar,0,0
Spain - La Liga 2,Eldense,0,0
Spain - La Liga 2,Espanyol,0,0
Spain - La Liga 2,FC Andorra,0,0
Spain - La Liga 2,Huesca,1,0
Spain - La Liga 2,Levante,0,0
Spain - La Liga 2,Racing Ferrol,0,0
Spain - La Liga 2,Real Oviedo,0,0
Spain - La Liga 2,Sporting Gijon,0,0
Spain - La Liga 2,Villarreal B,0,0
Sweden - Allsvenskan,AIK,2,3
Sweden - Allsvenskan,Brommapojkarna,0,2
Sweden - Allsvenskan,Degerfors,0,5
Sweden - Allsvenskan,Djurgarden,0,1
Sweden - Allsvenskan,Elfsborg,3,0
Sweden - Allsvenskan,Hacken,1,0
Sweden - Allsvenskan,Halmstad,0,1
Sweden - Allsvenskan,Hammarby,0,3
Sweden - Allsvenskan,IFK Goteborg,1,3
Sweden - Allsvenskan,Kalmar,2,3
Sweden - Allsvenskan,Malmo FF,3,2
Sweden - Allsvenskan,Mjallby,1,2
Sweden - Allsvenskan,Norrkoping,1,3
Sweden - Allsvenskan,Sirius,0,3
Sweden - Allsvenskan,Varberg BoIS,2,3
Sweden - Allsvenskan,Varnamo,0,2
Switzerland - Super League,BSC Young Boys,0,0
Switzerland - Super League,FC Basel,0,1
Switzerland - Super League,FC Zurich,1,0
Switzerland - Super League,Grasshopper,1,0
Switzerland - Super League,Lausanne Ouchy,0,0
Switzerland - Super League,Lausanne Sport,1,0
Switzerland - Super League,Lugano,1,0
Switzerland - Super League,Luzern,0,0
Switzerland - Super League,Servette,0,0
Switzerland - Super League,St. Gallen,0,1
Switzerland - Super League,Winterthur,1,2
Switzerland - Super League,Yverdon,1,0
Switzerland - Challenge League,Aarau,1,0
Switzerland - Challenge League,Baden,0,1
Switzerland - Challenge League,Bellinzona,0,1
Switzerland - Challenge League,Neuchatel Xamax,1,0
Switzerland - Challenge League,Schaffhausen,0,0
Switzerland - Challenge League,Sion,0,0
Switzerland - Challenge League,Stade Nyonnais,1,0
Switzerland - Challenge League,Thun,0,0
Switzerland - Challenge League,Vaduz,1,0
Switzerland - Challenge League,Wil,2,0
Thailand - Thai League 1,Bangkok Utd,0,0
Thailand - Thai League 1,Buriram Utd,0,0
Thailand - Thai League 1,Chiangrai Utd,0,0
Thailand - Thai League 1,Chonburi,0,1
Thailand - Thai League 1,Pathum Utd,1,0
Thailand - Thai League 1,Port FC,0,0
Thailand - Thai League 1,Ratchaburi,0,0
Thailand - Thai League 1,Sukhothai,0,1
Turkey - Super Lig,Ankaragucu,0,0
Turkey - Super Lig,Antalyaspor,0,1
Turkey - Super Lig,Basaksehir,0,0
Turkey - Super Lig,Besiktas,0,0
Turkey - Super Lig,Galatasaray,0,0
Turkey - Super Lig,Gaziantep,0,1
Turkey - Super Lig,Hatayspor,1,0
Turkey - Super Lig,Istanbulspor,1,0
Turkey - Super Lig,Rizespor,0,0
Turkey - Super Lig,Samsunspor,0,1
Ukraine - Premier League,Chornomorets,0,0
Ukraine - Premier League,Dnipro-1,0,0
Ukraine - Premier League,Dynamo Kyiv,0,0
Ukraine - Premier League,FC Minaj,1,0
Ukraine - Premier League,Kolos Kovalivka,0,0
Ukraine - Premier League,Kryvbas KR,0,2
Ukraine - Premier League,LNZ Cherkasy,0,0
Ukraine - Premier League,Metalist 1925,0,0
Ukraine - Premier League,Obolon,0,1
Ukraine - Premier League,Oleksandria,0,1
Ukraine - Premier League,Polessya,1,0
Ukraine - Premier League,Rukh Lviv,0,0
Ukraine - Premier League,Shakhtar,0,0
Ukraine - Premier League,Veres,0,0
Ukraine - Premier League,Vorskla Poltava,1,0
Ukraine - Premier League,Zorya Luhansk,1,0
USA - MLS,Atlanta Utd,3,3
USA - MLS,Austin,1,1
USA - MLS,CF Montreal,0,4
USA - MLS,Charlotte,1,2
USA - MLS,Chicago Fire,2,1
USA - MLS,Cincinnati,1,3
USA - MLS,Colorado Rapids,2,3
USA - MLS,Columbus Crew,1,0
USA - MLS,Dallas,1,1
USA - MLS,DC United,1,3
USA - MLS,Houston Dynamo,1,4
USA - MLS,Inter Miami,1,2
USA - MLS,LA Galaxy,0,2
USA - MLS,Los Angeles FC,1,2
USA - MLS,Minnesota Utd,1,3
USA - MLS,Nashville SC,1,2
USA - MLS,New England,2,3
USA - MLS,New York City,1,3
USA - MLS,New York RB,0,2
USA - MLS,Orlando City,2,0
USA - MLS,Philadelphia,0,5
USA - MLS,Portland,1,0
USA - MLS,Real Salt Lake,3,2
USA - MLS,Seattle,1,2
USA - MLS,SJ Earthquakes,1,3
USA - MLS,Sporting KC,3,3
USA - MLS,St. Louis City,0,2
USA - MLS,Toronto,1,1
USA - MLS,Vancouver,2,2
USL Championship,Birmingham L.,0,4
USL Championship,Charleston,1,2
USL Championship,Colorado S.,4,3
USL Championship,Detroit City,2,5
USL Championship,El Paso,5,3
USL Championship,FC Tulsa,2,2
USL Championship,Hartford A.,4,4
USL Championship,Indy Eleven,2,3
USL Championship,Las Vegas L.,4,2
USL Championship,Loudoun Utd,2,1
USL Championship,Louisville City,2,3
USL Championship,Memphis,1,2
USL Championship,Miami FC,4,2
USL Championship,Monterey Bay,0,2
USL Championship,New Mexico,3,1
USL Championship,Oakland Roots,3,4
USL Championship,Orange County,2,2
USL Championship,Phoenix Rising,0,2
USL Championship,Pittsburgh,1,2
USL Championship,Rio Grande,0,2
USL Championship,Sacramento R.,0,1
USL Championship,San Antonio,5,3
USL Championship,San Diego Loyal,3,4
USL Championship,Tampa Bay,1,4
USA - USL League One,Central Valley,0,6
USA - USL League One,Charlotte,4,1
USA - USL League One,Chattanooga RW,2,6
USA - USL League One,Forward Madison,2,0
USA - USL League One,Greenville,1,2
USA - USL League One,Lexington,2,3
USA - USL League One,N. Colorado,3,1
USA - USL League One,North Carolina,2,1
USA - USL League One,One Knoxville,0,2
USA - USL League One,Richmond K.,3,3
USA - USL League One,Tormenta,2,4
USA - USL League One,Union Omaha,2,3
Vietnam - V League,Binh Dinh,1,1
Vietnam - V League,Binh Duong,3,0
Vietnam - V League,Cong An Nhan,2,0
Vietnam - V League,Da Nang,0,1
Vietnam - V League,H. A. Gia Lai,2,3
Vietnam - V League,Ha Noi,2,3
Vietnam - V League,Hai Phong,3,3
Vietnam - V League,Ho Chi Minh,1,0
Vietnam - V League,Hong Linh Ha T.,2,1
Vietnam - V League,Nam Dinh,3,1
Vietnam - V League,S. Khanh Hoa,0,1
Vietnam - V League,Song Lam Nghe,1,1
Vietnam - V League,Thanh Hoa,3,0
Vietnam - V League,The Cong,1,0
