Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
OGSlZtvD,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Ruggell,Vaduz,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xvFyv5Ps,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Schaan,Eschen,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0EuwPvl,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Triesen B,Triesenberg,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtZuvchU,22/08/2023,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Carrick Rangers,ROUND 1,1.37,4.95,7.19,1.24,3.6,1.01,15.5,1.14,4.7,1.5,2.35,2.35,1.59,3.84,1.2,1.73,2.06,,,,,15.0,21.0,46.0,101.0,7.0,8.5,19.0,51.0,6.0,6.5,13.0,51.0,7.5,8.0,14.0,51.0,201.0
UT3fcKhh,22/08/2023,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Linfield,Cliftonville,ROUND 1,1.75,3.8,4.27,1.34,3.1,1.01,10.2,1.22,3.65,1.79,2.02,2.79,1.36,5.15,1.11,1.7,2.1,,,,,9.5,11.0,20.0,51.0,6.0,6.0,12.0,31.0,7.0,6.5,11.0,36.0,11.0,10.0,19.0,51.0,201.0
b76EbLzb,22/08/2023,15:45,SCOTLAND - LEAGUE ONE,Falkirk,Stirling,ROUND 3,1.57,4.0,4.2,1.33,3.25,1.01,13.0,1.22,4.0,1.7,2.1,2.75,1.4,4.5,1.17,1.8,1.91,1.63,2.25,1.21,4.25,13.0,15.0,23.0,51.0,8.0,8.5,15.0,34.0,8.5,8.5,17.0,41.0,12.0,13.0,23.0,51.0,201.0
lUUOf1jp,22/08/2023,16:00,EUROPE - CHAMPIONS LEAGUE,Antwerp (Bel),AEK Athens FC (Gre),QUALIFICATION ,2.1,3.4,3.4,1.4,2.75,1.06,8.0,1.3,3.4,2.03,1.83,3.4,1.3,6.5,1.1,1.83,1.83,2.08,1.73,1.33,3.3,9.5,10.0,17.0,34.0,7.5,6.5,12.0,29.0,10.0,9.5,15.0,34.0,19.0,19.0,29.0,51.0,151.0
hWlmjsCq,22/08/2023,16:00,EUROPE - CHAMPIONS LEAGUE,Rangers (Sco),PSV (Ned),QUALIFICATION ,2.7,3.5,2.5,1.33,3.25,1.04,9.0,1.22,4.0,1.7,2.1,2.63,1.44,4.5,1.17,1.57,2.25,2.68,1.45,1.55,2.38,13.0,11.0,13.0,23.0,11.0,7.0,10.0,19.0,15.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,126.0
ra4BXy0m,22/08/2023,16:00,EUROPE - CHAMPIONS LEAGUE,Rakow (Pol),FC Copenhagen (Den),QUALIFICATION ,2.4,3.4,2.88,1.44,2.63,1.06,8.0,1.36,3.0,2.1,1.7,3.75,1.25,7.0,1.08,1.83,1.83,2.38,1.55,1.45,2.68,8.5,8.5,13.0,29.0,7.5,6.5,11.0,23.0,11.0,10.0,15.0,34.0,21.0,21.0,34.0,51.0,151.0
xA7CUJwO,22/08/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Bolivar (Bol),Internacional (Bra),PLAY OFFS ,1.91,3.6,4.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.95,1.8,1.88,1.98,1.26,3.7,9.5,10.0,19.0,41.0,6.5,7.0,13.0,34.0,8.5,8.5,17.0,41.0,15.0,17.0,29.0,51.0,351.0
0z5SkB3n,22/08/2023,19:00,BRAZIL - SERIE B,Mirassol,Juventude,ROUND 25,2.04,3.08,4.17,1.63,2.2,1.1,5.7,1.63,2.3,2.75,1.38,5.55,1.1,12.5,1.01,2.4,1.54,,,,,6.0,8.5,17.0,56.0,5.5,6.0,14.0,41.0,8.5,9.0,19.0,67.0,19.0,23.0,51.0,151.0,201.0
CEtgQaz8,22/08/2023,20:05,MEXICO - LIGA DE EXPANSION MX,Celaya,Atlante,APERTURA ,2.74,3.13,2.56,1.5,2.48,1.05,7.2,1.4,2.64,2.33,1.6,4.2,1.17,8.2,1.03,1.92,1.84,,,,,6.0,6.5,10.0,23.0,6.5,5.0,8.5,19.0,10.0,8.5,12.0,31.0,23.0,19.0,34.0,71.0,201.0
GpYGlCH5,22/08/2023,20:15,COLOMBIA - PRIMERA A,Jaguares de Cordoba,U. Magdalena,CLAUSURA ,1.99,3.3,4.03,1.52,2.44,1.06,6.8,1.44,2.54,2.43,1.57,4.45,1.16,8.8,1.02,2.11,1.69,1.9,1.9,,,7.0,10.0,23.0,71.0,5.5,6.0,15.0,46.0,7.5,8.5,18.0,71.0,14.0,17.0,36.0,126.0,201.0
ABPIV7IU,22/08/2023,21:30,BRAZIL - SERIE B,Criciuma,Vila Nova FC,ROUND 25,2.24,3.06,3.55,1.6,2.26,1.09,6.0,1.59,2.39,2.64,1.41,5.25,1.11,12.0,1.01,2.25,1.61,,,,,6.0,8.0,15.0,41.0,5.5,5.5,12.0,36.0,9.5,9.5,18.0,61.0,21.0,23.0,46.0,151.0,201.0
ChqsLzFL,22/08/2023,21:30,SOUTH AMERICA - COPA SUDAMERICANA,Corinthians (Bra),Estudiantes L.P. (Arg),PLAY OFFS ,2.05,3.1,4.2,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.03,1.78,1.25,3.8,6.0,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,201.0
WfkNBj0O,22/08/2023,22:00,MEXICO - LIGA MX,Mazatlan FC,Puebla,APERTURA ,2.38,3.3,3.0,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.57,2.25,2.3,1.6,1.4,2.85,13.0,12.0,17.0,29.0,10.0,6.5,11.0,21.0,13.0,9.5,11.0,26.0,23.0,17.0,23.0,34.0,126.0
xKzKCWpI,22/08/2023,22:00,MEXICO - LIGA MX,Guadalajara Chivas,Club Tijuana,APERTURA ,1.91,3.6,4.0,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.75,2.0,1.93,1.93,1.26,3.7,11.0,12.0,21.0,41.0,7.5,6.5,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,26.0,41.0,201.0
QHUzkqD8,22/08/2023,22:05,MEXICO - LIGA DE EXPANSION MX,Atletico La Paz,Leones Negros,APERTURA ,2.51,3.38,2.63,1.35,3.04,1.01,9.9,1.21,3.74,1.77,2.04,2.71,1.38,4.95,1.12,1.57,2.33,,,,,10.0,8.5,11.0,20.0,8.5,5.5,7.5,14.0,11.0,7.5,9.0,18.0,23.0,15.0,19.0,36.0,201.0
