Date,Time,Country,Paises,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,League,ROUND
22.08.2023,23:15,COLOMBIA,PRIMERA A - CLAUSURA - ROUND 7,Jaguares de Cordoba,U. Magdalena,2.1,3.25,3.6,2.25,1.62,1.91,1.8,COLOMBIA - PRIMERA A - CLAUSURA,ROUND 7
22.08.2023,15:00,CROATIA,CROATIAN CUP - 1/32-FINALS,Tigar Sveta Nedelja,Gornja Vrba,2.1,3.25,3.6,2.25,1.62,1.91,1.8,CROATIA - CROATIAN CUP,1/32-FINALS
22.08.2023,16:00,CZECH REPUBLIC,MOL CUP - 1/64-FINALS,SK Hranice,Unicov,6.0,4.2,1.4,1.5,2.5,1.5,2.5,CZECH REPUBLIC - MOL CUP,1/64-FINALS
22.08.2023,17:00,DENMARK,1ST DIVISION - ROUND 6,Fredericia,Horsens,2.63,3.5,2.55,1.6,2.3,1.5,2.5,DENMARK - 1ST DIVISION,ROUND 6
22.08.2023,17:00,DENMARK,1ST DIVISION - ROUND 6,Naestved,B.93,2.2,3.6,3.1,1.6,2.3,1.5,2.5,DENMARK - 1ST DIVISION,ROUND 6
22.08.2023,18:00,ENGLAND,EFL TROPHY,Swindon,Arsenal U21,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ENGLAND,EFL TROPHY
22.08.2023,18:00,ENGLAND,EFL TROPHY,Walsall,Brighton U21,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ENGLAND,EFL TROPHY
22.08.2023,18:30,ENGLAND,EFL TROPHY,Stockport County,Manchester Utd U21,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ENGLAND,EFL TROPHY
22.08.2023,18:45,ENGLAND,EFL TROPHY,Portsmouth,Fulham U21,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ENGLAND,EFL TROPHY
22.08.2023,15:00,ESTONIA,ESTONIAN CUP - 1/16-FINALS,Elva,Tervis Parnu,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ESTONIA - ESTONIAN CUP,1/16-FINALS
22.08.2023,16:00,ESTONIA,ESTONIAN CUP - 1/16-FINALS,Nomme Utd,Eston Villa,2.2,3.6,3.1,1.6,2.3,1.5,2.5,ESTONIA - ESTONIAN CUP,1/16-FINALS
22.08.2023,18:00,EUROPE,PREMIER LEAGUE INTERNATIONAL CUP,West Ham U21,Valencia B,2.2,3.6,3.1,1.6,2.3,1.5,2.5,EUROPE,PREMIER LEAGUE INTERNATIONAL CUP
22.08.2023,15:30,FINLAND,YKKONEN,JJK Jyvaskyla,Ekenas,4.75,3.8,1.55,1.7,2.1,1.73,2.0,FINLAND,YKKONEN
22.08.2023,17:00,GERMANY,3. LIGA - ROUND 3,Hallescher,Duisburg,4.75,3.8,1.55,1.7,2.1,1.73,2.0,GERMANY - 3. LIGA,ROUND 3
22.08.2023,17:00,GERMANY,3. LIGA - ROUND 3,Munich 1860,Lubeck,4.75,3.8,1.55,1.7,2.1,1.73,2.0,GERMANY - 3. LIGA,ROUND 3
22.08.2023,17:00,GERMANY,3. LIGA - ROUND 3,Preussen Munster,Ingolstadt,4.75,3.8,1.55,1.7,2.1,1.73,2.0,GERMANY - 3. LIGA,ROUND 3
22.08.2023,17:00,GERMANY,3. LIGA - ROUND 3,SG Dynamo Dresden,Mannheim,4.75,3.8,1.55,1.7,2.1,1.73,2.0,GERMANY - 3. LIGA,ROUND 3
22.08.2023,17:00,GERMANY,3. LIGA - ROUND 3,Ulm,Arminia Bielefeld,4.75,3.8,1.55,1.7,2.1,1.73,2.0,GERMANY - 3. LIGA,ROUND 3
22.08.2023,09:30,INDIA,DURAND CUP,Hyderabad,Nepal Army,4.75,3.8,1.55,1.7,2.1,1.73,2.0,INDIA,DURAND CUP
22.08.2023,12:30,INDIA,DURAND CUP,Bengaluru FC,Gokulam,4.75,3.8,1.55,1.7,2.1,1.73,2.0,INDIA,DURAND CUP
22.08.2023,15:30,IRAN,PERSIAN GULF PRO LEAGUE - ROUND 3,Mes Rafsanjan,Shams Azar Qazvin,4.75,3.8,1.55,1.7,2.1,1.73,2.0,IRAN - PERSIAN GULF PRO LEAGUE,ROUND 3
22.08.2023,18:30,ITALY,SUPERCOPPA PRIMAVERA - FINAL,Lecce U19,AS Roma U19,4.75,3.8,1.55,1.7,2.1,1.73,2.0,ITALY - SUPERCOPPA PRIMAVERA,FINAL
22.08.2023,18:00,LIECHTENSTEIN,LIECHTENSTEIN CUP - 1/8-FINALS,Eschen B,Triesen,4.75,3.8,1.55,1.7,2.1,1.73,2.0,LIECHTENSTEIN - LIECHTENSTEIN CUP,1/8-FINALS
22.08.2023,18:00,LIECHTENSTEIN,LIECHTENSTEIN CUP - 1/8-FINALS,Ruggell,Vaduz,4.75,3.8,1.55,1.7,2.1,1.73,2.0,LIECHTENSTEIN - LIECHTENSTEIN CUP,1/8-FINALS
22.08.2023,18:00,LIECHTENSTEIN,LIECHTENSTEIN CUP - 1/8-FINALS,Schaan,Eschen,4.75,3.8,1.55,1.7,2.1,1.73,2.0,LIECHTENSTEIN - LIECHTENSTEIN CUP,1/8-FINALS
22.08.2023,18:00,LIECHTENSTEIN,LIECHTENSTEIN CUP - 1/8-FINALS,Triesen B,Triesenberg,4.75,3.8,1.55,1.7,2.1,1.73,2.0,LIECHTENSTEIN - LIECHTENSTEIN CUP,1/8-FINALS
22.08.2023,13:00,MALAYSIA,SUPER LEAGUE - ROUND 20,Penang,Kedah,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MALAYSIA - SUPER LEAGUE,ROUND 20
22.08.2023,23:05,MEXICO,LIGA DE EXPANSION MX - APERTURA - ROUND 6,Celaya,Atlante,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MEXICO - LIGA DE EXPANSION MX - APERTURA,ROUND 6
22.08.2023,01:00,MEXICO,LIGA MX WOMEN - APERTURA - ROUND 7,Necaxa W,Queretaro W,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MEXICO - LIGA MX WOMEN - APERTURA,ROUND 7
22.08.2023,01:06,MEXICO,LIGA MX WOMEN - APERTURA - ROUND 7,Club Leon W,Club America W,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MEXICO - LIGA MX WOMEN - APERTURA,ROUND 7
22.08.2023,03:00,MEXICO,LIGA MX WOMEN - APERTURA - ROUND 7,Monterrey W,Juarez W,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MEXICO - LIGA MX WOMEN - APERTURA,ROUND 7
22.08.2023,03:10,MEXICO,LIGA MX WOMEN - APERTURA - ROUND 7,Santos Laguna W,U.A.N.L.- Tigres W,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MEXICO - LIGA MX WOMEN - APERTURA,ROUND 7
22.08.2023,08:00,MONGOLIA,PREMIER LEAGUE - ROUND 4,Deren,Khangarid,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MONGOLIA - PREMIER LEAGUE,ROUND 4
22.08.2023,11:00,MONGOLIA,PREMIER LEAGUE - ROUND 4,Khoromkhon,Khaan Khuns-Erchim,4.75,3.8,1.55,1.7,2.1,1.73,2.0,MONGOLIA - PREMIER LEAGUE,ROUND 4
22.08.2023,22:00,NORTH & CENTRAL AMERICA,CONCACAF CENTRAL AMERICAN CUP - ROUND 4,Independiente,Esteli,4.75,3.8,1.55,1.7,2.1,1.73,2.0,NORTH & CENTRAL AMERICA - CONCACAF CENTRAL AMERICAN CUP,ROUND 4
22.08.2023,18:45,NORTHERN IRELAND,NIFL PREMIERSHIP - ROUND 1,Crusaders,Carrick Rangers,4.75,3.8,1.55,1.7,2.1,1.73,2.0,NORTHERN IRELAND - NIFL PREMIERSHIP,ROUND 1
22.08.2023,18:45,NORTHERN IRELAND,NIFL PREMIERSHIP - ROUND 1,Linfield,Cliftonville,4.75,3.8,1.55,1.7,2.1,1.73,2.0,NORTHERN IRELAND - NIFL PREMIERSHIP,ROUND 1
22.08.2023,16:00,ROMANIA,LIGA 2 - ROUND 3,Chindia Targoviste,Gloria Buzau,4.75,3.8,1.55,1.7,2.1,1.73,2.0,ROMANIA - LIGA 2,ROUND 3
