home_team_name,placar,frequencia,participacao_percentual
Adelaide United,2x0,1,100.0
Central Coast Mariners,2x3,1,100.0
Melbourne City FC,0x1,1,8.33
Melbourne City FC,1x0,1,8.33
Melbourne City FC,1x1,1,8.33
Melbourne City FC,2x1,3,25.0
Melbourne City FC,2x2,2,16.67
Melbourne City FC,3x0,1,8.33
Melbourne City FC,4x0,1,8.33
Melbourne City FC,4x1,1,8.33
Melbourne City FC,6x1,1,8.33
Western Sydney Wanderers,1x2,1,100.0
